# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000   10.214028543   10.213060788   10.213013410
    0.067776294   10.215859027   10.214878110   10.214829917
    0.134552588   10.221250190   10.220230418   10.220179821
    0.201328881   10.230220334   10.229135607   10.229080989
    0.268105175   10.242800029   10.241623567   10.241563271
    0.334881469   10.259032409   10.257736461   10.257668770
    0.401657763   10.278973576   10.277529121   10.277452237
    0.468434057   10.302693146   10.301069560   10.300981587
    0.535210351   10.330274928   10.328439634   10.328338553
    0.601986644   10.361817763   10.359735832   10.359619480
    0.668762938   10.397436526   10.395070244   10.394936283
    0.735539232   10.437263322   10.434571700   10.434417590
    0.802315526   10.481448907   10.478387122   10.478210084
    0.869091820   10.530164340   10.526683102   10.526480078
    0.935868114   10.583602935   10.579647752   10.579415363
    1.002644407   10.641982536   10.637492872   10.637227362
    1.069420701   10.705548186   10.700456469   10.700153644
    1.136196995   10.774575242   10.768805713   10.768460871
    1.202973289   10.849373043   10.842840392   10.842448237
    1.269749583   10.930289220   10.922896969   10.922451510
    1.336525876   11.017714777   11.009353357   11.008847790
    1.403302170   11.112090117   11.102634561   11.102061123
    1.470078464   11.213912209   11.203219365   11.202569164
    1.536854758   11.323743156   11.311648311   11.310911113
    1.603631052   11.442220495   11.428533247   11.427697220
    1.670407346   11.570069655   11.554568834   11.553620233
    1.737183639   11.708119125   11.690546502   11.689469277
    1.803959933   11.857319056   11.837371487   11.836146794
    1.870736227   12.018764264   11.996083794   11.994689379
    1.937512521   12.193722926   12.167884209   12.166293628
    2.004288815   12.383672731   12.354166889   12.352348500
    2.071065109   12.590346917   12.556560598   12.554476262
    2.137841402   12.815793625   12.776981515   12.774584883
    2.204617696   13.062453444   13.017701717   13.014935959
    2.271393990   13.333262283   13.281439321   13.278234059
    2.338170284   13.631790213   13.571479097   13.567746206
    2.404946578   13.962432553   13.891836968   13.887464725
    2.471722871   14.330678866   14.247489354   14.242334120
    2.538499165   14.743501637   14.644701283   14.638575423
    2.605275459   15.209935292   15.091510320   15.084164206
    2.672051753   15.741970238   15.598466659   15.589561115
    2.738828047   16.355992692   16.179814818   16.168877531
    2.805604341   17.075218098   16.855475982   16.841829902
    2.872380634   17.934013176   17.654536331   17.637176327
    2.939156928   18.985740809   18.621357880   18.598719680
    3.005933222   20.314010440   19.821397702   19.790787758
    3.072709516   21.993331817   21.266729833   21.221546404
    3.139485810   23.616731190   22.523514864   22.455401980
    3.206262104   24.620764711   23.512756638   23.443512798
    3.273038397   24.836262753   24.676391300   24.666334333
    3.339814691   25.278571218   26.689112559   26.777156128
    3.406590985   25.971916979   28.943681807   29.129050878
    3.473367279   24.357240971   27.784088623   27.997369470
    3.540143573   21.923553396   26.013273625   26.268179538
    3.606919866   20.861763315   23.397674708   23.555665253
    3.673696160   19.797669907   20.569562316   20.617360103
    3.740472454   16.854663838   16.793718971   16.789310633
    3.807248748   15.828486723   15.029998883   14.980385639
    3.874025042   11.514845183   11.489054979   11.487799726
    3.940801336    7.026576187    6.564655288    6.536538558
    4.007577629    2.449561779    0.973561323    0.882337888
    4.074353923   -2.224567264   -4.820628141   -4.982710231
    4.141130217   -4.460923837   -7.234254972   -7.407387220
    4.207906511   -5.688291024   -7.487589666   -7.599694660
    4.274682805   -7.027922115   -7.858566075   -7.910132702
    4.341459098   -8.222392502   -7.286489483   -7.227740691
    4.408235392   -9.175456304   -7.055052193   -6.922311247
    4.475011686   -9.358018544   -6.532836394   -6.356606052
    4.541787980   -7.719891009   -5.273490655   -5.121068751
    4.608564274   -5.686157291   -4.031418366   -3.928446872
    4.675340568   -4.221987385   -3.109268889   -3.040129344
    4.742116861   -3.279524276   -2.146410260   -2.075770605
    4.808893155   -3.022234578   -1.705934840   -1.623845458
    4.875669449   -2.583935619   -1.641537777   -1.582661265
    4.942445743   -1.558496479   -1.761692860   -1.774596943
    5.009222037   -0.834577240   -1.064317522   -1.078736855
    5.075998331   -0.248493617   -0.251376997   -0.251632003
    5.142774624   -0.324196094   -0.050466171   -0.033504585
    5.209550918   -0.065886712   -0.247712035   -0.259292473
    5.276327212    0.470168675   -0.633608439   -0.702736419
    5.343103506    1.437051625   -0.518228233   -0.640428540
    5.409879800    1.742150940   -0.328966006   -0.458395831
    5.476656093    1.656212998   -0.019129200   -0.123732799
    5.543432387    1.844207974    0.372973681    0.281121611
    5.610208681    1.462021063    0.281759720    0.208026252
    5.676984975    0.859875946    0.237691700    0.198932604
    5.743761269    1.385477657    0.474606142    0.417702511
    5.810537563    1.630715362    0.457256402    0.383903412
    5.877313856    2.009511334    0.751487817    0.672956776
    5.944090150    2.373324798    1.378214390    1.316075533
    6.010866444    2.142576739    1.142006558    1.079408454
    6.077642738    1.697544953    0.560519979    0.489344070
    6.144419032    2.047899160    0.838822335    0.763281949
    6.211195326    2.134841232    0.956989395    0.883476383
    6.277971619    2.023958271    0.846096359    0.772436396
    6.344747913    1.932359396    1.052292809    0.997257967
    6.411524207    2.115274038    1.521781689    1.484745177
    6.478300501    2.297616091    1.369105929    1.311119746
    6.545076795    1.671202290    1.370537837    1.351737738
    6.611853088    0.939671939    1.636753059    1.680362593
    6.678629382    1.014696779    1.834525770    1.885726748
    6.745405676    1.478469835    1.903235632    1.929839593
    6.812181970    1.990156764    1.946733350    1.944035420
    6.878958264    2.060210456    1.921721619    1.913128711
    6.945734558    2.344748730    2.283149002    2.279334353
    7.012510851    2.126036446    2.119256326    2.118874220
    7.079287145    1.890507536    2.138630072    2.154160655
    7.146063439    1.779672700    2.114085233    2.134946661
    7.212839733    2.064642660    2.137086128    2.141646269
    7.279616027    2.251916278    2.151034046    2.144745474
    7.346392321    2.537909818    2.382566645    2.372820557
    7.413168614    2.586363862    2.745757466    2.755706792
    7.479944908    2.635267416    2.690115961    2.693638090
    7.546721202    2.725192635    2.635339421    2.629777790
    7.613497496    2.617722940    2.695403799    2.700254774
    7.680273790    2.849647123    3.045761472    3.058033776
    7.747050083    2.787241327    3.156103165    3.179136636
    7.813826377    2.801848522    3.348803070    3.383008434
    7.880602671    2.466552297    3.067786089    3.105357666
    7.947378965    2.377567281    2.713969332    2.734947277
    8.014155259    2.684234333    2.824654449    2.833482511
    8.080931553    2.384962552    2.792686277    2.818077626
    8.147707846    2.500777975    2.896728233    2.921427710
    8.214484140    2.794577637    3.072340377    3.089640002
    8.281260434    2.842706090    2.986064097    2.994968416
    8.348036728    3.051107635    3.281160388    3.295471612
    8.414813022    2.950815677    3.688545790    3.734649112
    8.481589316    2.692000351    3.558668755    3.612862130
    8.548365609    2.853390683    3.206590063    3.228664256
    8.615141903    3.151726081    3.186130046    3.188289085
    8.681918197    3.180371859    3.255314339    3.259953214
    8.748694491    3.232305480    3.183170989    3.180079270
    8.815470785    3.017435758    2.835903888    2.824586431
    8.882247078    2.702391371    2.781219931    2.786173363
    8.949023372    2.474035108    2.680106035    2.692963732
    9.015799666    2.290605170    2.502872313    2.516123739
    9.082575960    2.318176816    2.218681894    2.212457804
    9.149352254    2.481610503    2.179108057    2.160220351
    9.216128548    2.619283016    2.252787418    2.229937020
    9.282904841    2.601713391    2.067581256    2.034208167
    9.349681135    2.165699999    1.839663072    1.819289365
    9.416457429    1.745309371    1.792254442    1.795182386
    9.483233723    1.481672816    1.622890294    1.631722046
    9.550010017    1.274194589    1.439535634    1.449876347
    9.616786311    1.180502414    1.269219640    1.274777984
    9.683562604    1.377273766    1.381269532    1.381532468
    9.750338898    1.727183307    1.703153001    1.701604109
    9.817115192    2.068762135    1.749497709    1.729528055
    9.883891486    2.373058519    1.821711006    1.787304670
    9.950667780    1.845011281    1.775405026    1.771109278
   10.017444073    1.687192526    1.839208841    1.848692782
   10.084220367    1.978380780    2.017172173    2.019464416
   10.150996661    1.984905041    1.978449365    1.977935633
   10.217772955    2.007480486    1.838511607    1.828132821
   10.284549249    1.982981687    1.875332241    1.868750198
   10.351325543    1.494882689    1.907758693    1.933648264
   10.418101836    1.155181744    1.761603014    1.799544550
   10.484878130    1.074097144    1.705757838    1.745150609
   10.551654424    1.229544706    1.699776955    1.729077490
   10.618430718    1.389927130    1.810722121    1.836982194
   10.685207012    1.348957075    1.693774877    1.715362075
   10.751983306    1.342302173    1.724635940    1.748446338
   10.818759599    1.155156745    1.531621847    1.555133947
   10.885535893    1.096854376    1.098004560    1.098077570
   10.952312187    1.185033467    1.162183799    1.160687973
   11.019088481    1.375371314    1.479405693    1.485799223
   11.085864775    1.604696361    1.399132235    1.386293177
   11.152641068    1.645921333    1.339564502    1.320449759
   11.219417362    1.311624054    1.404732153    1.410580330
   11.286193656    1.040446882    1.448065465    1.473533734
   11.352969950    1.123861872    1.589981050    1.619154101
   11.419746244    1.141050994    1.468608131    1.489171312
   11.486522538    1.042597382    1.200434337    1.210294313
   11.553298831    1.126367730    1.340073717    1.353443520
   11.620075125    1.108375621    1.392852016    1.410682504
   11.686851419    1.270074316    1.372529721    1.378906963
   11.753627713    1.542533506    1.501588129    1.499010472
   11.820404007    1.509133003    1.518801207    1.519432192
   11.887180301    1.406951311    1.383955366    1.382520599
   11.953956594    1.264409347    1.261867959    1.261770656
   12.020732888    1.091356805    1.163402716    1.167954420
