# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.000054037    0.000053647    0.000053623
    0.034387312    0.001858479    0.001845056    0.001844219
    0.067774624    0.003664494    0.003638002    0.003636351
    0.101161937    0.005473612    0.005433982    0.005431513
    0.134549249    0.007287372    0.007234501    0.007231207
    0.167936561    0.009107322    0.009041072    0.009036944
    0.201323873    0.010935025    0.010855223    0.010850251
    0.234711185    0.012772064    0.012678500    0.012672670
    0.268098497    0.014620042    0.014512470    0.014505767
    0.301485810    0.016480589    0.016358723    0.016351130
    0.334873122    0.018355365    0.018218882    0.018210378
    0.368260434    0.020246064    0.020094599    0.020085161
    0.401647746    0.022154419    0.021987564    0.021977168
    0.435035058    0.024082207    0.023899510    0.023888127
    0.468422371    0.026031250    0.025832214    0.025819812
    0.501809683    0.028003427    0.027787505    0.027774050
    0.535196995    0.030000672    0.029767265    0.029752721
    0.568584307    0.032024984    0.031773441    0.031757766
    0.601971619    0.034078432    0.033808042    0.033791193
    0.635358932    0.036163159    0.035873154    0.035855082
    0.668746244    0.038281393    0.037970938    0.037951591
    0.702133556    0.040435450    0.040103641    0.040082964
    0.735520868    0.042627743    0.042273605    0.042251536
    0.768908180    0.044860791    0.044483269    0.044459743
    0.802295492    0.047137226    0.046735183    0.046710128
    0.835682805    0.049459805    0.049032012    0.049005352
    0.869070117    0.051831416    0.051376550    0.051348202
    0.902457429    0.054255094    0.053771726    0.053741601
    0.935844741    0.056734027    0.056220617    0.056188620
    0.969232053    0.059271576    0.058726463    0.058692489
    1.002619366    0.061871280    0.061292673    0.061256611
    1.036006678    0.064536880    0.063922845    0.063884575
    1.069393990    0.067272329    0.066620780    0.066580170
    1.102781302    0.070081811    0.069390496    0.069347407
    1.136168614    0.072969765    0.072236250    0.072190530
    1.169555927    0.075940901    0.075162555    0.075114040
    1.202943239    0.079000226    0.078174203    0.078122716
    1.236330551    0.082153068    0.081276290    0.081221637
    1.269717863    0.085405109    0.084474237    0.084416212
    1.303105175    0.088762409    0.087773827    0.087712203
    1.336492487    0.092231447    0.091181228    0.091115761
    1.369879800    0.095819155    0.094703036    0.094633460
    1.403267112    0.099532962    0.098346307    0.098272332
    1.436654424    0.103380841    0.102118603    0.102039915
    1.470041736    0.107371359    0.106028039    0.105944295
    1.503429048    0.111513738    0.110083336    0.109994162
    1.536816361    0.115817916    0.114293879    0.114198866
    1.570203673    0.120294624    0.118669782    0.118568482
    1.603590985    0.124955461    0.123221963    0.123113888
    1.636978297    0.129812992    0.127962225    0.127846836
    1.670365609    0.134880846    0.132903348    0.132780056
    1.703752922    0.140173831    0.138059192    0.137927348
    1.737140234    0.145708070    0.143444817    0.143303705
    1.770527546    0.151501146    0.149076613    0.148925443
    1.803914858    0.157572273    0.154972449    0.154810348
    1.837302170    0.163942486    0.161151850    0.160977849
    1.870689482    0.170634867    0.167636184    0.167449208
    1.904076795    0.177674796    0.174448891    0.174247745
    1.937464107    0.185090247    0.181615738    0.181399088
    1.970851419    0.192912119    0.189165113    0.188931470
    2.004238731    0.201174638    0.197128370    0.196876064
    2.037626043    0.209915811    0.205540220    0.205267377
    2.071013356    0.219177959    0.214439199    0.214143708
    2.104400668    0.229008351    0.223868204    0.223547681
    2.137787980    0.239459947    0.233875131    0.233526878
    2.171175292    0.250592278    0.244513627    0.244134579
    2.204562604    0.262472502    0.255843981    0.255430644
    2.237949917    0.275176664    0.267934193    0.267482570
    2.271337229    0.288791226    0.280861249    0.280366754
    2.304724541    0.303414917    0.294712678    0.294170027
    2.338111853    0.319161006    0.309588434    0.308991512
    2.371499165    0.336160095    0.325603218    0.324944920
    2.404886477    0.354563603    0.342889343    0.342161372
    2.438273790    0.374548130    0.361600322    0.360792943
    2.471661102    0.396320987    0.381915386    0.381017113
    2.505048414    0.420127285    0.404045261    0.403042466
    2.538435726    0.446259108    0.428239621    0.427116033
    2.571823038    0.475067576    0.454796854    0.453532916
    2.605210351    0.506978887    0.484077049    0.482649086
    2.638597663    0.542516049    0.516519571    0.514898695
    2.671984975    0.582328816    0.552667299    0.550817969
    2.705372287    0.627235779    0.593200829    0.591078907
    2.738759599    0.678284914    0.638987924    0.636538051
    2.772146912    0.736842980    0.691157144    0.688309132
    2.805534224    0.804731473    0.751211128    0.747874947
    2.838921536    0.884440582    0.821207656    0.817266375
    2.872308848    0.979479320    0.904061894    0.899361658
    2.905696160    1.094974832    1.004076440    0.998412165
    2.939083472    1.238751073    1.127922287    1.121017336
    2.972470785    1.423375676    1.286553258    1.278031010
    3.005858097    1.670216524    1.499063561    1.488406913
    3.039245409    2.017379098    1.799927893    1.786395836
    3.072632721    2.531110378    2.245359830    2.227589205
    3.106020033    3.290279540    2.874874075    2.849045809
    3.139407346    4.263514989    3.582786627    3.540432006
    3.172794658    5.359886590    4.215765594    4.144496316
    3.206181970    6.609499560    4.819198875    4.707553659
    3.239569282    7.787515874    5.432211349    5.285231715
    3.272956594    8.679933926    6.061760433    5.898345750
    3.306343907    9.574161660    6.865875472    6.696857657
    3.339731219   10.892607835    8.061837069    7.885198243
    3.373118531   12.615158914    9.763418701    9.585481706
    3.406505843   14.419656027   11.972366013   11.819663440
    3.439893155   15.970050341   14.383657798   14.284640387
    3.473280467   17.233349531   16.578767953   16.537873877
    3.506667780   18.283167058   18.430944104   18.440128447
    3.540055092   19.406790797   20.211340058   20.261506215
    3.573442404   20.363941684   21.897509407   21.993156432
    3.606829716   21.019040461   23.404024937   23.552722672
    3.640217028   21.949499734   25.094652541   25.290776553
    3.673604341   23.141727341   26.531132030   26.742536898
    3.706991653   24.278212243   27.218795644   27.402111034
    3.740378965   25.288047248   27.604880971   27.749180051
    3.773766277   26.333829124   28.037698054   28.143627029
    3.807153589   27.352257127   28.636685545   28.716353922
    3.840540902   28.362228509   29.469472424   29.538063356
    3.873928214   29.265377157   30.566238330   30.647015650
    3.907315526   29.990825033   31.663788877   31.767873851
    3.940702838   30.672833721   32.680875078   32.805938780
    3.974090150   30.838597440   33.034396706   33.171434345
    4.007477462   30.161621700   32.060102184   32.178854433
    4.040864775   28.783445288   29.907306698   29.977800231
    4.074252087   27.169503449   27.572316539   27.597796566
    4.107639399   25.700991566   25.704784611   25.705423177
    4.141026711   24.315116236   24.003715100   23.984672884
    4.174414023   23.110705030   22.180451685   22.122597430
    4.207801336   22.058232226   20.262819547   20.150849078
    4.241188648   21.010556964   18.470885381   18.312421315
    4.274575960   20.154580097   17.025048135   16.829746251
    4.307963272   18.997968881   15.774278256   15.573137002
    4.341350584   17.354452026   14.592172545   14.419889886
    4.374737896   15.697110111   13.515263471   13.379276663
    4.408125209   14.103650976   12.421986498   12.317275546
    4.441512521   12.470865799   11.283282059   11.209364457
    4.474899833   10.990891658   10.298513985   10.255508647
    4.508287145    9.614667462    9.534928756    9.530196132
    4.541674457    8.325021941    8.946893179    8.985947920
    4.575061770    7.303778141    8.448598139    8.520241695
    4.608449082    6.718966748    8.003225092    8.083526772
    4.641836394    6.558345893    7.709151773    7.781138048
    4.675223706    6.646421980    7.582818486    7.641383335
    4.708611018    6.576985355    7.454554094    7.509340512
    4.741998331    6.185337348    7.252620634    7.319224597
    4.775385643    5.721215429    7.081338411    7.166274276
    4.808772955    5.320738854    6.933040945    7.033784545
    4.842160267    5.055045003    6.781210619    6.889114913
    4.875547579    4.940724353    6.694024907    6.803624666
    4.908934891    4.868161787    6.577158720    6.683972013
    4.942322204    4.863505583    6.490931390    6.592662709
    4.975709516    4.912369467    6.392409045    6.484897112
    5.009096828    4.912333951    6.274607715    6.359666341
    5.042484140    4.710610328    6.109288699    6.196574134
    5.075871452    4.452671454    5.933625163    6.026033161
    5.109258765    4.288014246    5.873933429    5.972919726
    5.142646077    4.165563059    5.898165025    6.006365645
    5.176033389    4.177140568    5.903602985    6.011449444
    5.209420701    4.260263386    5.900155242    6.002596031
    5.242808013    4.297850623    5.904777879    6.005159344
    5.276195326    4.325400282    5.851842908    5.947158287
    5.309582638    4.357313819    5.810060104    5.900758704
    5.342969950    4.386950615    5.835311199    5.925744957
    5.376357262    4.421494649    5.843123317    5.931888930
    5.409744574    4.550954472    5.788390422    5.865654619
    5.443131886    4.633089465    5.654529313    5.718280134
    5.476519199    4.682843002    5.555338142    5.609763763
    5.509906511    4.816641061    5.511627042    5.554973650
    5.543293823    5.052932295    5.455402333    5.480511091
    5.576681135    5.338298170    5.500657259    5.510812507
    5.610068447    5.501919243    5.532580241    5.534527938
    5.643455760    5.355687407    5.398576440    5.401234410
    5.676843072    5.031145839    5.163302963    5.171489516
    5.710230384    4.733650570    4.906294451    4.917005507
    5.743617696    4.587042244    4.679002693    4.684702975
    5.777005008    4.604780637    4.569093586    4.566863446
    5.810392321    4.760014433    4.614464211    4.605397915
    5.843779633    4.928098488    4.750794658    4.739750730
    5.877166945    4.820067502    4.712656289    4.705930939
    5.910554257    4.519081848    4.391869904    4.383852623
    5.943941569    4.351865735    4.090793573    4.074435566
    5.977328881    4.315281988    3.972339940    3.950893550
    6.010716194    4.258378740    3.971220281    3.953274832
    6.044103506    4.231842242    4.031667774    4.019155963
    6.077490818    4.250762703    4.104264969    4.095121321
    6.110878130    4.400166707    4.232752734    4.222304509
    6.144265442    4.656135125    4.352935077    4.333985618
    6.177652755    4.852308814    4.350568225    4.319205327
    6.211040067    4.884554173    4.211481653    4.169388090
    6.244427379    4.869156982    4.061240990    4.010691124
    6.277814691    4.969799219    4.054188470    3.996926895
    6.311202003    5.049702263    4.073675835    4.012658744
    6.344589316    4.998292327    4.043921408    3.984251615
    6.377976628    4.884654190    4.000015686    3.944744025
    6.411363940    4.830889811    4.018482628    3.967766750
    6.444751252    4.957823908    4.065723455    4.009978355
    6.478138564    5.257619384    4.039860857    3.963717986
    6.511525876    5.634794367    4.007926136    3.906209243
    6.544913189    5.786519463    3.929480748    3.813389187
    6.578300501    5.508244504    3.779031799    3.670932361
    6.611687813    5.004926193    3.638763000    3.553363533
    6.645075125    4.580724030    3.570559462    3.507435574
    6.678462437    4.280405778    3.564825649    3.520106028
    6.711849750    4.010227110    3.535622964    3.505944294
    6.745237062    3.771477947    3.456862619    3.437167471
    6.778624374    3.655777280    3.409451263    3.394025215
    6.812011686    3.645142052    3.415649333    3.401296065
    6.845398998    3.668155302    3.439775693    3.425506529
    6.878786311    3.667169191    3.500749545    3.490357989
    6.912173623    3.785002559    3.631503004    3.621917388
    6.945560935    4.055680535    3.762575563    3.744278116
    6.978948247    4.303223449    3.862602140    3.835090292
    7.012335559    4.382776730    3.863718100    3.831290350
    7.045722871    4.268367234    3.712509096    3.677777916
    7.079110184    4.068080917    3.526004110    3.492142014
